date invoice,aliac,upc,name,barcode,Ordered QTY,Size US/UK,eu size,rrp,Season,gender,color,Category,cost,silling price,customer price,Brand
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603650,2,10.5,44.0,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603667,1,11.0,44.5,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603674,1,11.5,45.0,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603698,1,12.5,46.0,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603599,1,7.5,40.5,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603605,1,8.0,41.0,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603612,2,8.5,42.0,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603629,2,9.0,42.5,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BBK,220864BBK,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603636,3,9.5,43.0,280,fw25,MENS,BBK,Footwear,140.42,162.4,224,Basic
45915,220864BKW,220864BKW,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603797,2,10.5,44.0,280,fw25,MENS,BKW,Footwear,140.42,162.4,224,Basic
45915,220864BKW,220864BKW,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603803,1,11.0,44.5,280,fw25,MENS,BKW,Footwear,140.42,162.4,224,Basic
45915,220864BKW,220864BKW,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603810,1,11.5,45.0,280,fw25,MENS,BKW,Footwear,140.42,162.4,224,Basic
45915,220864BKW,220864BKW,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603834,1,12.5,46.0,280,fw25,MENS,BKW,Footwear,140.42,162.4,224,Basic
45915,220864BKW,220864BKW,Basic Mesh Lace Up W/ Full Rubber Bottom,197627603735,1,7.5,40.5,280,fw25,MENS,BKW,Footwear,140.42,162.4,224,Basic
